Цитата;Автор;Контекст (До);Контекст (После)
Жизнь наша суть добродетели, и мы молимся, чтобы враг попрал в землю жизнь нашу.;Авва Дорофей;И не только об этом молимся, но и да поперет в землю живот наш. Что такое живот наш?;Да будем совершенно земными, и все мудрование наше (да будет) пригвожденно к земле. И славу мою в персть вселит (Псал. 7, 6): что же слава наша, если не то ведение, какое приобретается душею чрез хранение святых заповедей.
Да будем совершенно земными, и все мудрование наше (да будет) пригвожденно к земле.;Авва Дорофей;Что такое живот наш? Жизнь наша суть добродетели, и мы молимся, чтобы враг попрал в землю жизнь нашу.;И славу мою в персть вселит (Псал. 7, 6): что же слава наша, если не то ведение, какое приобретается душею чрез хранение святых заповедей. Итак, мы просим, чтобы (враг) обратил славу нашу, как говорит Апостол, в студ наш, чтобы в прах вселил ее и сделал жизнь нашу и славу нашу земными, дабы мы ничего не мудрствовали по Богу, но все только телесное, плотское, как те, о которых Бог сказал: не имать пребывати дух Мой в человецех сих, зане суть плоть (Быт. 6, 3).
Видите, когда мы поем все сие, мы проклинаем самих себя, если воздаем злом за зло.;Авва Дорофей;И славу мою в персть вселит (Псал. 7, 6): что же слава наша, если не то ведение, какое приобретается душею чрез хранение святых заповедей. Итак, мы просим, чтобы (враг) обратил славу нашу, как говорит Апостол, в студ наш, чтобы в прах вселил ее и сделал жизнь нашу и славу нашу земными, дабы мы ничего не мудрствовали по Богу, но все только телесное, плотское, как те, о которых Бог сказал: не имать пребывати дух Мой в человецех сих, зане суть плоть (Быт. 6, 3).;А как часто воздаем мы злом за зло, и не заботимся о сем, но оставляем это без внимания!
Воздать же злом за зло можно не только делом, но и словом, и видом.;Авва Дорофей;Видите, когда мы поем все сие, мы проклинаем самих себя, если воздаем злом за зло. А как часто воздаем мы злом за зло, и не заботимся о сем, но оставляем это без внимания!;Иной думает, что он на деле не воздает злом за зло, но оказывается, что он, как я сказал, воздает словом или видом, поелику случается, что кто-либо одним видом, или движением, или взором смущает брата своего, ибо можно и одним взглядом или телодвижением оскорбить брата своего, и это также есть воздаяние злом за зло. Другой старается не мстить за зло ни делом, ни словом, ни видом, ни движением, но в сердце своем имеет неудовольствие на брата своего и скорбит на него.
ибо можно и одним взглядом или телодвижением оскорбить брата своего, и это также есть воздаяние злом за зло.;Авва Дорофей;А как часто воздаем мы злом за зло, и не заботимся о сем, но оставляем это без внимания! Воздать же злом за зло можно не только делом, но и словом, и видом.;Другой старается не мстить за зло ни делом, ни словом, ни видом, ни движением, но в сердце своем имеет неудовольствие на брата своего и скорбит на него. Видите ли, какое различие душевных устроений!
Другой старается не мстить за зло ни делом, ни словом, ни видом, ни движением, но в сердце своем имеет неудовольствие на брата своего и скорбит на него.;Авва Дорофей;Воздать же злом за зло можно не только делом, но и словом, и видом. Иной думает, что он на деле не воздает злом за зло, но оказывается, что он, как я сказал, воздает словом или видом, поелику случается, что кто-либо одним видом, или движением, или взором смущает брата своего, ибо можно и одним взглядом или телодвижением оскорбить брата своего, и это также есть воздаяние злом за зло.;Видите ли, какое различие душевных устроений! Другой, хотя не имеет скорби на брата своего, но если услышит, что кто-нибудь оскорбил того в чем-либо, или его побранили, или уничижили, и он радуется, слыша это, то оказывается, что и он, таким образом, воздает злом за зло в сердце своем.
Видите ли, какое различие душевных устроений!;Авва Дорофей;Иной думает, что он на деле не воздает злом за зло, но оказывается, что он, как я сказал, воздает словом или видом, поелику случается, что кто-либо одним видом, или движением, или взором смущает брата своего, ибо можно и одним взглядом или телодвижением оскорбить брата своего, и это также есть воздаяние злом за зло. Другой старается не мстить за зло ни делом, ни словом, ни видом, ни движением, но в сердце своем имеет неудовольствие на брата своего и скорбит на него.;Другой, хотя не имеет скорби на брата своего, но если услышит, что кто-нибудь оскорбил того в чем-либо, или его побранили, или уничижили, и он радуется, слыша это, то оказывается, что и он, таким образом, воздает злом за зло в сердце своем. Другой не питает злобы (в сердце своем) и не радуется, слыша об уничижении оскорбившего его, даже и печалится, если ему нанесут оскорбление, однако же не радуется и благополучию его, но если видит, что того прославляют и тому угождают, то он скорбит: и это есть также, хотя и легчайший, однако же вид злопамятности.
если видит, что того прославляют и тому угождают, то он скорбит: и это есть также, хотя и легчайший, однако же вид злопамятности.;Авва Дорофей;Видите ли, какое различие душевных устроений! Другой, хотя не имеет скорби на брата своего, но если услышит, что кто-нибудь оскорбил того в чем-либо, или его побранили, или уничижили, и он радуется, слыша это, то оказывается, что и он, таким образом, воздает злом за зло в сердце своем.;Каждый (из нас) должен радоваться успокоению брата своего и все делать, чтобы почтить его. Мы сказали в начале слова, что иной, и поклонившись брату своему, все еще продолжает скорбеть на него, и говорили, что он, сделав поклон, исцелил этим гнев, но еще не подвизался против злопамятности.
Каждый (из нас) должен радоваться успокоению брата своего и все делать, чтобы почтить его.;Авва Дорофей;Другой, хотя не имеет скорби на брата своего, но если услышит, что кто-нибудь оскорбил того в чем-либо, или его побранили, или уничижили, и он радуется, слыша это, то оказывается, что и он, таким образом, воздает злом за зло в сердце своем. Другой не питает злобы (в сердце своем) и не радуется, слыша об уничижении оскорбившего его, даже и печалится, если ему нанесут оскорбление, однако же не радуется и благополучию его, но если видит, что того прославляют и тому угождают, то он скорбит: и это есть также, хотя и легчайший, однако же вид злопамятности.;Мы сказали в начале слова, что иной, и поклонившись брату своему, все еще продолжает скорбеть на него, и говорили, что он, сделав поклон, исцелил этим гнев, но еще не подвизался против злопамятности. Иной же, если случится кому-либо оскорбить его, и они поклонятся друг другу и примирятся между собою, живет в мире с тем и не имеет против него никакого помысла в сердце своем, когда же через несколько времени тому опять случится сказать что-либо оскорбительное для него, то он начинает вспоминать и прежнее, и смущаться не только о втором, но и о прежнем.
когда же через несколько времени тому опять случится сказать что-либо оскорбительное для него, то он начинает вспоминать и прежнее, и смущаться не только о втором, но и о прежнем.;Авва Дорофей;Каждый (из нас) должен радоваться успокоению брата своего и все делать, чтобы почтить его. Мы сказали в начале слова, что иной, и поклонившись брату своему, все еще продолжает скорбеть на него, и говорили, что он, сделав поклон, исцелил этим гнев, но еще не подвизался против злопамятности.;Сей подобен человеку, имеющему рану и положившему на нее пластырь, и, хотя он в настоящее время заживил рану, и она заросла, но место еще болезненно, и если кто-нибудь бросит в него камешком, то место сие повреждается скорее всего тела и тотчас начинает источать кровь. Тоже самое претерпевает и оный человек: была у него рана и он приложил пластырь, то есть сделал поклон, и подобно первому исцелил рану, то есть гнев, и начал также усиливаться против злопамятности, стараясь не питать ни одного помысла в сердце своем, ибо сие значит, что рана зарастает.
Сей подобен человеку, имеющему рану и положившему на нее пластырь, и, хотя он в настоящее время заживил рану, и она заросла, но место еще болезненно, и если кто-нибудь бросит в него камешком, то место сие повреждается скорее всего тела и тотчас начинает источать кровь.;Авва Дорофей;Мы сказали в начале слова, что иной, и поклонившись брату своему, все еще продолжает скорбеть на него, и говорили, что он, сделав поклон, исцелил этим гнев, но еще не подвизался против злопамятности. Иной же, если случится кому-либо оскорбить его, и они поклонятся друг другу и примирятся между собою, живет в мире с тем и не имеет против него никакого помысла в сердце своем, когда же через несколько времени тому опять случится сказать что-либо оскорбительное для него, то он начинает вспоминать и прежнее, и смущаться не только о втором, но и о прежнем.;Тоже самое претерпевает и оный человек: была у него рана и он приложил пластырь, то есть сделал поклон, и подобно первому исцелил рану, то есть гнев, и начал также усиливаться против злопамятности, стараясь не питать ни одного помысла в сердце своем, ибо сие значит, что рана зарастает. Но она еще несовершенно зажила, есть еще остаток злопамятности, который составляет верхнее закрытие раны, и от него удобно возобновляется вся рана, если человек получит хотя легкий ушиб.
Но она еще несовершенно зажила, есть еще остаток злопамятности, который составляет верхнее закрытие раны, и от него удобно возобновляется вся рана, если человек получит хотя легкий ушиб.;Авва Дорофей;Сей подобен человеку, имеющему рану и положившему на нее пластырь, и, хотя он в настоящее время заживил рану, и она заросла, но место еще болезненно, и если кто-нибудь бросит в него камешком, то место сие повреждается скорее всего тела и тотчас начинает источать кровь. Тоже самое претерпевает и оный человек: была у него рана и он приложил пластырь, то есть сделал поклон, и подобно первому исцелил рану, то есть гнев, и начал также усиливаться против злопамятности, стараясь не питать ни одного помысла в сердце своем, ибо сие значит, что рана зарастает.;
должно подвизаться, чтобы очистить совершенно и внутренний гной, дабы больное место совсем заросло и чтобы не осталось никакого безобразия, и вовсе нельзя было узнать, что на этом месте была рана;Авва Дорофей;Тоже самое претерпевает и оный человек: была у него рана и он приложил пластырь, то есть сделал поклон, и подобно первому исцелил рану, то есть гнев, и начал также усиливаться против злопамятности, стараясь не питать ни одного помысла в сердце своем, ибо сие значит, что рана зарастает. Но она еще несовершенно зажила, есть еще остаток злопамятности, который составляет верхнее закрытие раны, и от него удобно возобновляется вся рана, если человек получит хотя легкий ушиб.;Как же можно сего достигнуть? Молясь от всего сердца об оскорбившем и говоря: «Боже!
где сострадание, любовь и смирение, что может там успеть раздражительность, или злопамятность, или другая страсть?;Авва Дорофей;Молясь от всего сердца об оскорбившем и говоря: «Боже! Помоги брату моему и мне, ради молитв его».;И Авва Зосима сказал: «Если диавол подвигнет все хитрости злобы своей со всеми демонами своими, то все коварства его упразднятся и сокрушатся от смирения по заповеди Христовой». А другой старец сказал: «Молящийся за врага будет незлопамятен».
Если диавол подвигнет все хитрости злобы своей со всеми демонами своими, то все коварства его упразднятся и сокрушатся от смирения по заповеди Христовой;Авва Дорофей;Помоги брату моему и мне, ради молитв его». Таким образом человек и молится за брата своего, а это есть знак сострадания и любви, и смиряется, прося себе помощи, ради молитв его: а где сострадание, любовь и смирение, что может там успеть раздражительность, или злопамятность, или другая страсть?;А другой старец сказал: «Молящийся за врага будет незлопамятен». Исполняйте это на деле, и тогда хорошо уразумеете то, что слышите, ибо поистине, если не будете исполнять этого, не можете одними словами научиться сему.
Молящийся за врага будет незлопамятен;Авва Дорофей;Таким образом человек и молится за брата своего, а это есть знак сострадания и любви, и смиряется, прося себе помощи, ради молитв его: а где сострадание, любовь и смирение, что может там успеть раздражительность, или злопамятность, или другая страсть? И Авва Зосима сказал: «Если диавол подвигнет все хитрости злобы своей со всеми демонами своими, то все коварства его упразднятся и сокрушатся от смирения по заповеди Христовой».;Исполняйте это на деле, и тогда хорошо уразумеете то, что слышите, ибо поистине, если не будете исполнять этого, не можете одними словами научиться сему. Какой человек, желая научиться искусству, постигает его из одних слов?
Ложь чужда Богу;Авва Дорофей;Хочу вам, братия, вспомянуть несколько о лжи, ибо я вижу, что вы не очень стараетесь удерживать язык свой, от чего мы легко увлекаемся во многое зло. Заметьте, братия мои, что во всяком деле, как я всегда говорю вам, (можно приобрести) навык и к доброму, и к злому: итак, нужно большое внимание, чтобы нам не быть окраденными ложью, ибо лжец не имеет общения с Богом.;В Писании сказано, что ложь от лукавого, и что он ложь есть и отец лжи (Иоан. 8, 44). Вот, отцом лжи назван диавол, а истина есть Бог, ибо Он Сам говорит: Аз есмь путь, и истина и живот (Иоан. 14, 6).
отцом лжи назван диавол, а истина есть Бог, ибо Он Сам говорит: Аз есмь путь, и истина и живот;Авва Дорофей;Ложь чужда Богу. В Писании сказано, что ложь от лукавого, и что он ложь есть и отец лжи (Иоан. 8, 44).;Видите посему, от Кого мы отлучаем себя и с кем соединяемся ложью: очевидно, с лукавым. Итак, если мы поистине хотим спастись, то мы должны всею силою и со всем усердием любить истину и охранять себя от всякой лжи, чтобы она не отлучила нас от истины и жизни.
если мы поистине хотим спастись, то мы должны всею силою и со всем усердием любить истину и охранять себя от всякой лжи, чтобы она не отлучила нас от истины и жизни;Авва Дорофей;Вот, отцом лжи назван диавол, а истина есть Бог, ибо Он Сам говорит: Аз есмь путь, и истина и живот (Иоан. 14, 6). Видите посему, от Кого мы отлучаем себя и с кем соединяемся ложью: очевидно, с лукавым.;
Есть три различных вида лжи: иной лжет мыслию, другой лжет словом, а иной лжет самою жизнью своею.;Авва Дорофей;Видите посему, от Кого мы отлучаем себя и с кем соединяемся ложью: очевидно, с лукавым. Итак, если мы поистине хотим спастись, то мы должны всею силою и со всем усердием любить истину и охранять себя от всякой лжи, чтобы она не отлучила нас от истины и жизни.;Мыслию лжет тот, кто принимает за истину свои предположения, то есть пустые подозрения на ближнего: такой, когда видит, что кто-нибудь беседует с братом своим, делает свои догадки и говорит: «Он обо мне беседует». Если прекращают беседу, он опять предполагает, что ради него прекратили беседу.
Мыслию лжет тот, кто принимает за истину свои предположения, то есть пустые подозрения на ближнего;Авва Дорофей;Итак, если мы поистине хотим спастись, то мы должны всею силою и со всем усердием любить истину и охранять себя от всякой лжи, чтобы она не отлучила нас от истины и жизни. Есть три различных вида лжи: иной лжет мыслию, другой лжет словом, а иной лжет самою жизнью своею.;Если прекращают беседу, он опять предполагает, что ради него прекратили беседу. Если кто скажет слово, то он подозревает, что оно сказано для оскорбления его.
Во-первых, уже и начало сего от лукавого, ибо он начал ложью: не зная подлинно, придумал то, чего не знал, а как может древо зло плоды добры творити?;Авва Дорофей;Таковой лжет мыслию, ибо он ничего истинного не говорит, но все по одному подозрению, а от сего происходят: любопытство, злословие, подслушивания [В слав.: преслушания], вражда, осуждения. Бывает, что иной предположит нечто, и это случайно оказывается истинным, а он после сего, желая, как он говорит, исправлять себя, уже постоянно (за всем) замечает, думая: «Если кто-нибудь говорит обо мне, то мне надобно знать, какое мое согрешение, за которое он меня осуждает, и я буду исправляться».;(Матф. 7, 18). Если же он в самом деле желает исправиться, то когда ему брат скажет: «Не делай этого», или «Зачем ты это сделал», он не должен смущаться, но поклониться и поблагодарить его, и тогда он исправится.
Если же он в самом деле желает исправиться, то когда ему брат скажет: «Не делай этого», или «Зачем ты это сделал», он не должен смущаться, но поклониться и поблагодарить его, и тогда он исправится.;Авва Дорофей;Во-первых, уже и начало сего от лукавого, ибо он начал ложью: не зная подлинно, придумал то, чего не знал, а как может древо зло плоды добры творити? (Матф. 7, 18).;Ибо если Бог увидит, что таково его произволение, то Он никогда не оставит его в заблуждении, но пошлет кого-нибудь, могущего его исправить. А говорить: я верю своим догадкам для исправления себя, и с сею целью подслушивать и любопытствовать, — это есть самооправдание, внушаемое диаволом, который желает строить нам козни.
было мне такое дьявольское искушение, что я стал было по движениям и по походке человека заключать о его душевном устроении;Авва Дорофей;Ибо если Бог увидит, что таково его произволение, то Он никогда не оставит его в заблуждении, но пошлет кого-нибудь, могущего его исправить. А говорить: я верю своим догадкам для исправления себя, и с сею целью подслушивать и любопытствовать, — это есть самооправдание, внушаемое диаволом, который желает строить нам козни.;Однажды, когда я стоял, прошла мимо меня женщина с ведром воды, сам не знаю, как я увлекся и посмотрел ей в глаза, и тотчас помысл внушил мне, что она блудница, но лишь только пришел мне сей помысл, я стал очень скорбеть и сказал (о сем) старцу, Авве Иоанну: «Владыко, что я должен делать, когда я невольно замечаю чьи-либо движения и походку, и помысл говорит мне о душевном устроении сего (человека)? » И старец отвечал мне так: «Что же?
Итак, никогда не верь своим догадкам, ибо кривое правило и прямое делает кривым.;Авва Дорофей;Разве не бывает, что иной имеет естественный недостаток, однако с великим усилием и трудами исправляет его? Потому и нельзя из этого заключать чьего-либо душевного устроения.;Мнения [В слав. переводе сей книги, напечатанном в Киеве в 1628 г.: зазоры (подозрения)] человеческие ложны и вредят тому, кто предается им». И так с тех пор, когда помысл говорил мне о солнце, что это солнце, или о тьме, что это тьма, я не верил ему, ибо нет ничего тяжелее, как верить своим мнениям [В слав.: самосмышлению].
ибо нет ничего тяжелее, как верить своим мнениям;Авва Дорофей;Итак, никогда не верь своим догадкам, ибо кривое правило и прямое делает кривым. Мнения [В слав. переводе сей книги, напечатанном в Киеве в 1628 г.: зазоры (подозрения)] человеческие ложны и вредят тому, кто предается им».;Это, если укоренится в нас, то доводит до такого вреда, что мы думаем действительно видеть вещи, коих нет и быть не может. И скажу вам о сем удивительный случай, который произошел при мне, когда я еще находился в общежитии.
мы думаем действительно видеть вещи, коих нет и быть не может.;Авва Дорофей;Мнения [В слав. переводе сей книги, напечатанном в Киеве в 1628 г.: зазоры (подозрения)] человеческие ложны и вредят тому, кто предается им». И так с тех пор, когда помысл говорил мне о солнце, что это солнце, или о тьме, что это тьма, я не верил ему, ибо нет ничего тяжелее, как верить своим мнениям [В слав.: самосмышлению].;И скажу вам о сем удивительный случай, который произошел при мне, когда я еще находился в общежитии. Там был у нас один брат, которого очень беспокоила сия страсть, и он так следовал своим догадкам, что был уверен в каждом предположении своем, ему казалось, что (дело происходит) непременно так, как представляет ему помысл его, и не может быть иначе.
Зло со временем усилилось, и демоны довели его до такого заблуждения;Авва Дорофей;И скажу вам о сем удивительный случай, который произошел при мне, когда я еще находился в общежитии. Там был у нас один брат, которого очень беспокоила сия страсть, и он так следовал своим догадкам, что был уверен в каждом предположении своем, ему казалось, что (дело происходит) непременно так, как представляет ему помысл его, и не может быть иначе.;Итак, уверив себя, что он действительно видел это, он скрылся, и ушел молча. Потом, в час литургии, он опять стал замечать, что будет делать во время причащения брат, только что укравший и евший смоквы.
нет ничего вреднее подозрительности;Авва Дорофей;Когда Игумен таким образом удостоверился, то он отпустил сего брата идти причаститься, и призвав того, который верил своим подозрениям, наложил на него епитимию и отлучил его от святого Причащения. И мало того, он, созвав всю братию, по окончании литургии, со слезами рассказал им о случившемся и обличил брата пред всеми, (желая) достигнуть сим троякой пользы: (во-первых) посрамить диавола и обличить сеющего такие подозрения, во-вторых, чтобы через сие посрамление был прощен грех брата и чтобы он получил от Бога помощь на будущее время, и в-третьих, чтобы утвердить братию — никогда не верить своим мнениям.;И много подобного сказали отцы, предохраняя нас от вреда верить своим подозрениям.
если верить своим догадкам, то им и конца не будет, и они никогда не попустят душе быть мирною.;Авва Дорофей;Итак, постараемся же, братия, никогда не верить своим самомышлениям. Ибо поистине ничто так не удаляет человека от Бога и от внимания к своим грехам и не побуждает его всегда любопытствовать о неполезном ему, как сия страсть: от сего не бывает ничего доброго, а множество смущений, от сего человек никогда не находит возможности приобрести страх Божий.;Вот это ложь мыслию. А словом лжет тот, кто, например, от уныния поленившись встать на бдение, не говорит: «Прости меня, что я поленился встать», но говорит: «У меня был жар, я до крайности утомился работою, не в силах был встать, был нездоров», и говорит десять лживых слов для того, чтобы не сделать одного поклона и не смириться.
Вот это ложь мыслию.;Авва Дорофей;Ибо поистине ничто так не удаляет человека от Бога и от внимания к своим грехам и не побуждает его всегда любопытствовать о неполезном ему, как сия страсть: от сего не бывает ничего доброго, а множество смущений, от сего человек никогда не находит возможности приобрести страх Божий. Если же по причине порочности нашей посеваются в нас лукавые помышления, то тотчас должно обращать их в добрые, и они не повредят нам, ибо если верить своим догадкам, то им и конца не будет, и они никогда не попустят душе быть мирною.;А словом лжет тот, кто, например, от уныния поленившись встать на бдение, не говорит: «Прости меня, что я поленился встать», но говорит: «У меня был жар, я до крайности утомился работою, не в силах был встать, был нездоров», и говорит десять лживых слов для того, чтобы не сделать одного поклона и не смириться. И если он в (подобном случае) не укорит себя [В греч.: если кто-либо укорит его в каком-нибудь деле], то беспрестанно изменяет слова свои и спорит, чтобы не понести укоризны.
говорит десять лживых слов для того, чтобы не сделать одного поклона и не смириться.;Авва Дорофей;Если же по причине порочности нашей посеваются в нас лукавые помышления, то тотчас должно обращать их в добрые, и они не повредят нам, ибо если верить своим догадкам, то им и конца не будет, и они никогда не попустят душе быть мирною. Вот это ложь мыслию.;И если он в (подобном случае) не укорит себя [В греч.: если кто-либо укорит его в каком-нибудь деле], то беспрестанно изменяет слова свои и спорит, чтобы не понести укоризны. Также когда случится ему иметь какой-нибудь спор с братом своим, то он не перестает оправдываться и говорить: «Но ты сказал, но ты сделал, но я не говорил, но такой-то сказал», и то, и другое, чтобы только не смириться.
Такому человеку никогда не верят, но хотя он и правду скажет, никто не может дать ему веры, и самая правда его оказывается невероятною.;Авва Дорофей;И как всякий грех происходит или от сластолюбия, или от сребролюбия, или от славолюбия, так и ложь бывает от сих трех причин. Человек лжет или для того, чтобы не укорить себя и не смириться, или для того, чтобы исполнить желание свое, или ради приобретения, и не перестает делать извороты и ухищряться в словах, до тех пор, пока не исполнит желания своего.;Иногда случается такое дело, что бывает крайность скрыть мало, и если кто не скроет мало, то дело приносит большое смущение и скорбь. Когда встретится такая крайность и видит кто-либо себя в такой нужде, то может посему изменить слово для того, чтобы не вышло, как я сказал, большего смущения и скорби, или беды.
И как всякий грех происходит или от сластолюбия, или от сребролюбия, или от славолюбия, так и ложь бывает от сих трех причин.;Авва Дорофей;Также когда случится ему иметь какой-нибудь спор с братом своим, то он не перестает оправдываться и говорить: «Но ты сказал, но ты сделал, но я не говорил, но такой-то сказал», и то, и другое, чтобы только не смириться. Опять, если он пожелает чего-нибудь, то не хочет сказать: «Я этого желаю», но все извращает слова свои, говоря: «У меня такая-то болезнь, и это мне нужно, это мне приказано», и лжет до тех пор, пока не удовлетворит своему желанию.;Человек лжет или для того, чтобы не укорить себя и не смириться, или для того, чтобы исполнить желание свое, или ради приобретения, и не перестает делать извороты и ухищряться в словах, до тех пор, пока не исполнит желания своего. Такому человеку никогда не верят, но хотя он и правду скажет, никто не может дать ему веры, и самая правда его оказывается невероятною.
